SET,Food,Health,Agri,Auto,Bank,Prop,ICT,Energy,Tourism,Trans,crisis
10.11,9.13,-1.41,0.92,8.97,21.77,9.94,4.63,12.87,-4.29,8.64,1997
-6.27,5.34,-2.58,-1.77,1.72,-9.99,-6.2,-6.27,-2.48,-0.21,0.41,1997
-2.43,0.69,-0.25,-1.71,2.52,0.48,-7.74,-4.32,-0.59,-4.97,7.59,1997
0.22,0.64,-9.73,-3.48,-2.78,2.54,-2.47,-5.66,7.08,3.33,-2.55,1997
1.49,9.38,-7.47,-4.01,2.52,2.17,-0.51,-1.5,15.96,1.59,-0.94,1997
-4.94,-0.37,9.13,-5.27,12.62,-4.49,-5.13,-6.77,-5.9,-2.07,-1.2,1997
-14.68,-3.61,-13.35,-7.64,-14.12,-13.85,-11.21,-19.56,-12.92,-7.05,-14.68,1997
3.6,-3.45,0.99,-0.98,7.16,6.21,5.35,1.1,5.84,1.31,7.06,1997
-0.3,1.49,-1.29,0.87,-6.13,0.56,-7.61,6.06,0.5,-8.27,-5.76,1997
-17.17,-3.75,-12.52,-9.57,-11.77,-22.4,-26.49,-7.69,-7.03,-2.95,-12.12,1997
1.72,-4.52,-0.7,0.15,-3.05,3.64,4.43,-5.68,5.41,-6.97,0.15,1997
-10.19,-3.24,-5.31,2.93,0.39,-14.43,-5.26,-14.44,-2.28,1.03,-12.85,1997
-5.23,-2.2,-5.57,-5.81,-6.31,-5.74,-9.89,-5.2,-2.24,-5.63,7.29,1997
-7.67,-5.5,-0.09,-2.93,-10.6,-7.12,-14.86,-0.81,-11.89,-7.63,-3.64,1997
-3.04,1.21,0.74,-1.98,-7.23,-0.61,-18.37,-4.62,3.93,1.48,7.91,1997
-6.26,-7.23,-11.78,-8.72,-10.12,-4.15,-9.34,-13.49,-3.66,2.91,-10.49,1997
-14.35,-13.21,-14.73,-2.85,-13.06,-13.66,-21.72,-21.32,-7.22,-4.24,-2.99,1997
-6.91,-5.46,-3.74,-9.96,-7.37,-16.16,-0.29,12.69,1.22,-5.06,0.13,1997
26.24,26.61,2.95,6.83,8.57,33.07,28.58,23.49,22.37,34.27,37.73,1997
-24.55,-17.26,-15.77,-0.75,-15.22,-29.57,-26.58,-31.04,-22.34,-13.75,-24.46,1997
8.42,3.82,-2.47,6.44,-4.55,8.06,2.36,17.32,13.92,1.89,32.86,1997
-17.87,-5.3,-9.26,-1.15,0.83,-20.15,-26.85,-26.78,-8.81,-8.46,-19.08,1997
-11.57,-5.51,-18.36,-15.54,-11.37,-13.49,-29.13,-26.44,-3.54,2.16,1.57,1997
-5.76,0.41,-5.42,15.04,-26.06,-17.78,-17.77,-6.66,7.05,19.22,7,1997
32.88,20.98,3.71,13.77,-3.9,23.97,3.54,87.4,44.55,8.96,23.53,1997
6.7,24.94,9.41,8.39,3.23,7.62,31.51,0.06,-8.95,11.12,-11.72,1997
-13.12,-8.58,13.29,-8.02,2.03,-16.24,-16.08,-14.16,-18.74,1.92,-14.09,1997
-10.23,-3.71,-14.82,-6.51,-1.86,-15.41,-10.6,-11.67,-6.36,-4.34,-10.26,1997
-21,-11.59,-12.87,-8.92,-11.25,-30.37,-20,-24.23,-13.78,-4.43,-10.92,1997
-17.89,-11.8,-22.3,-16.1,-14.13,-29.37,-21.87,-17.82,-11.11,-8.87,-13,1997
-0.23,-1.05,1.92,-1.08,-8.54,-12.48,-4.92,15.87,8.52,-0.88,13.13,1997
-19.57,-5.68,-16.95,-6.4,-8.83,-24.08,-65.08,-28.91,-20.6,-5.41,-19.03,1997
10.68,7.89,2.99,0.3,1.36,7.86,11.09,12,15.74,2.3,14.92,2008
-5.41,-4.05,-11.35,-5.89,-2.3,-5.11,-7.91,-11,-3.28,-5.75,-8.38,2008
3.97,5.77,2.5,5.89,0.5,0.38,2.45,-4.53,9.06,1.46,4.67,2008
7.31,7.06,-1.72,-1.25,3.69,7.24,1.12,1.23,17.14,-0.71,-4.51,2008
-6.71,-3.92,-10.04,-3.42,-2.1,-7.5,-3.72,-3.42,-7.53,-3.92,-7.72,2008
1.38,3.18,0.38,-0.67,1.98,-0.46,1.49,5.13,0.79,2.69,1.89,2008
-8.61,-3.9,-11.05,-2.06,-5.06,-7.29,-7.5,-1.67,-11.79,0.69,-10.67,2008
7.85,4.72,7.77,6.87,6.93,9.92,11.98,10.62,6.88,2.35,4.36,2008
-3.4,-1.89,-5.17,2.53,-1.72,0.28,3.2,-3.1,-7.16,-1.6,-6.45,2008
1.89,1.23,3.3,4.93,4.75,0.97,-0.3,-4.84,5.15,-0.19,-1.87,2008
0.14,4.64,10.74,-11.14,-1.23,-2.29,-6.53,5.69,1.11,2.33,-3.62,2008
-7.8,-8.36,-3.77,-8.3,-6.36,-12.44,-13.29,-4.52,-5.98,-2.64,-11.09,2008
-12.01,-6.93,0.73,-4.19,-11,-8.28,-10.72,-8.84,-16.42,-8.94,-17.07,2008
1.2,-2.98,-1.33,4.65,-2.09,5.58,0.1,-1.19,1.92,-2.46,1.02,2008
-12.84,-7.29,-11.83,-2.41,-3.42,-15.49,-11.71,-8.4,-13.55,-6.87,-20.14,2008
