,term,estimate,std.error,statistic,p.value,significant
1,(Intercept),-0.040826938,0.024302053,-1.679978979,0.092961406,*
2,ReturnonEquity,5.77E-06,1.95E-05,0.296584994,0.766783369,
3,ReturnonAsset,0.001709743,0.001218404,1.403264518,0.160537975,
4,NetProfitMargin,0.000604868,0.000399624,1.513593125,0.130129066,
5,EBITMargin,-0.000710732,0.000855293,-0.830981429,0.40598412,
6,GrossProfitMargin,0.002584275,0.000745834,3.464947569,0.000530335,***
7,ReturnonEquity_dummy,5.93E-05,3.38E-05,1.756573574,0.078990521,*
8,ReturnonAsset_dummy,-0.002621548,0.002182721,-1.201045909,0.229733393,
9,NetProfitMargin_dummy,0.001087649,0.000644662,1.687161313,0.091572338,*
10,EBITMargin_dummy,0.001826479,0.001098676,1.662436668,0.096425252,*
11,GrossProfitMargin_dummy,-0.003519769,0.000914665,-3.848150262,0.000119013,***
